X,CH1,
Second,Volt,
-2.8048000e-01,6.00000e-04,
-2.8044000e-01,0.00000e+00,
-2.8040001e-01,0.00000e+00,
-2.8035998e-01,6.00000e-04,
-2.8031999e-01,6.00000e-04,
-2.8027999e-01,0.00000e+00,
-2.8024000e-01,0.00000e+00,
-2.8020000e-01,6.00000e-04,
-2.8016001e-01,6.00000e-04,
-2.8011999e-01,0.00000e+00,
-2.8007999e-01,0.00000e+00,
-2.8004000e-01,6.00000e-04,
-2.8000000e-01,6.00000e-04,
-2.7996001e-01,0.00000e+00,
-2.7992001e-01,0.00000e+00,
-2.7987999e-01,6.00000e-04,
-2.7983999e-01,6.00000e-04,
-2.7980000e-01,0.00000e+00,
-2.7976000e-01,0.00000e+00,
-2.7972001e-01,6.00000e-04,
-2.7967998e-01,6.00000e-04,
-2.7963999e-01,0.00000e+00,
-2.7959999e-01,0.00000e+00,
-2.7956000e-01,6.00000e-04,
-2.7952000e-01,6.00000e-04,
-2.7948001e-01,0.00000e+00,
-2.7943999e-01,0.00000e+00,
-2.7939999e-01,6.00000e-04,
-2.7936000e-01,6.00000e-04,
-2.7932000e-01,0.00000e+00,
-2.7928001e-01,0.00000e+00,
-2.7924001e-01,6.00000e-04,
-2.7919999e-01,6.00000e-04,
-2.7915999e-01,0.00000e+00,
-2.7912000e-01,0.00000e+00,
-2.7908000e-01,6.00000e-04,
-2.7904001e-01,6.00000e-04,
-2.7899998e-01,0.00000e+00,
-2.7895999e-01,0.00000e+00,
-2.7891999e-01,6.00000e-04,
-2.7888000e-01,6.00000e-04,
-2.7884001e-01,0.00000e+00,
-2.7880001e-01,0.00000e+00,
-2.7875999e-01,2.00000e-04,
-2.7871999e-01,2.00000e-04,
-2.7868000e-01,4.00000e-04,
-2.7864000e-01,4.00000e-04,
-2.7860001e-01,4.00000e-04,
-2.7855998e-01,2.00000e-04,
-2.7851999e-01,2.00000e-04,
-2.7847999e-01,4.00000e-04,
-2.7844000e-01,2.00000e-04,
-2.7840000e-01,2.00000e-04,
-2.7836001e-01,-2.00000e-04,
-2.7831998e-01,-4.00000e-04,
-2.7827999e-01,-6.00000e-04,
-2.7824000e-01,-6.00000e-04,
-2.7820000e-01,-4.00000e-04,
-2.7816001e-01,0.00000e+00,
-2.7812001e-01,2.00000e-04,
-2.7807999e-01,2.00000e-04,
-2.7803999e-01,2.00000e-04,
-2.7800000e-01,4.00000e-04,
-2.7796000e-01,2.00000e-04,
-2.7792001e-01,0.00000e+00,
-2.7787998e-01,-4.00000e-04,
-2.7783999e-01,-6.00000e-04,
-2.7779999e-01,-4.00000e-04,
-2.7776000e-01,0.00000e+00,
-2.7772000e-01,2.00000e-04,
-2.7768001e-01,2.00000e-04,
-2.7763999e-01,2.00000e-04,
-2.7759999e-01,2.00000e-04,
-2.7756000e-01,2.00000e-04,
-2.7752000e-01,4.00000e-04,
-2.7748001e-01,2.00000e-04,
-2.7744001e-01,4.00000e-04,
-2.7739999e-01,2.00000e-04,
-2.7735999e-01,0.00000e+00,
-2.7732000e-01,0.00000e+00,
-2.7728000e-01,-2.00000e-04,
-2.7724001e-01,-2.00000e-04,
-2.7719998e-01,-2.00000e-04,
-2.7715999e-01,-2.00000e-04,
-2.7711999e-01,2.00000e-04,
-2.7708000e-01,4.00000e-04,
-2.7704000e-01,8.00000e-04,
-2.7700001e-01,8.00000e-04,
-2.7695999e-01,8.00000e-04,
-2.7691999e-01,2.00000e-04,
-2.7688000e-01,2.00000e-04,
-2.7684000e-01,4.00000e-04,
-2.7680001e-01,4.00000e-04,
-2.7676001e-01,2.00000e-04,
-2.7671999e-01,0.00000e+00,
-2.7667999e-01,0.00000e+00,
-2.7664000e-01,-2.00000e-04,
-2.7660000e-01,2.00000e-04,
-2.7656001e-01,2.00000e-04,
-2.7651998e-01,2.00000e-04,
-2.7647999e-01,0.00000e+00,
-2.7643999e-01,-4.00000e-04,
-2.7640000e-01,-4.00000e-04,
-2.7636001e-01,-2.00000e-04,
-2.7632001e-01,-6.00000e-04,
-2.7627999e-01,-2.00000e-04,
-2.7623999e-01,-4.00000e-04,
-2.7620000e-01,-4.00000e-04,
-2.7616000e-01,-6.00000e-04,
-2.7612001e-01,-6.00000e-04,
-2.7608001e-01,-4.00000e-04,
-2.7603999e-01,-6.00000e-04,
-2.7599999e-01,-6.00000e-04,
-2.7596000e-01,-4.00000e-04,
-2.7592000e-01,-4.00000e-04,
-2.7588001e-01,-2.00000e-04,
-2.7583998e-01,0.00000e+00,
-2.7579999e-01,4.00000e-04,
-2.7575999e-01,-2.00000e-04,
-2.7572000e-01,-2.00000e-04,
-2.7568001e-01,0.00000e+00,
-2.7564001e-01,2.00000e-04,
-2.7559999e-01,4.00000e-04,
-2.7555999e-01,4.00000e-04,
-2.7552000e-01,2.00000e-04,
-2.7548000e-01,2.00000e-04,
-2.7544001e-01,4.00000e-04,
-2.7539998e-01,4.00000e-04,
-2.7535999e-01,4.00000e-04,
-2.7531999e-01,2.00000e-04,
-2.7528000e-01,0.00000e+00,
-2.7524000e-01,-2.00000e-04,
-2.7520001e-01,2.00000e-04,
-2.7515998e-01,2.00000e-04,
-2.7511999e-01,4.00000e-04,
-2.7508000e-01,4.00000e-04,
-2.7504000e-01,8.00000e-04,
-2.7500001e-01,8.00000e-04,
-2.7496001e-01,4.00000e-04,
-2.7491999e-01,6.00000e-04,
-2.7487999e-01,-2.00000e-04,
-2.7484000e-01,2.00000e-04,
-2.7480000e-01,4.00000e-04,
-2.7476001e-01,2.00000e-04,
-2.7471998e-01,2.00000e-04,
-2.7467999e-01,0.00000e+00,
-2.7463999e-01,0.00000e+00,
-2.7460000e-01,2.00000e-04,
-2.7456000e-01,4.00000e-04,
-2.7452001e-01,0.00000e+00,
-2.7447999e-01,2.00000e-04,
-2.7443999e-01,4.00000e-04,
-2.7440000e-01,8.00000e-04,
-2.7436000e-01,6.00000e-04,
-2.7432001e-01,6.00000e-04,
-2.7428001e-01,2.00000e-04,
-2.7423999e-01,4.00000e-04,
-2.7419999e-01,4.00000e-04,
-2.7416000e-01,4.00000e-04,
-2.7412000e-01,2.00000e-04,
-2.7408001e-01,2.00000e-04,
-2.7403998e-01,4.00000e-04,
-2.7399999e-01,4.00000e-04,
-2.7395999e-01,4.00000e-04,
-2.7392000e-01,4.00000e-04,
-2.7388000e-01,2.00000e-04,
-2.7384001e-01,2.00000e-04,
-2.7379999e-01,2.00000e-04,
-2.7375999e-01,2.00000e-04,
-2.7372000e-01,2.00000e-04,
