X,CH1,CH2,
Second,Volt,Volt,
-3.2479994e-02,-1.60000e-03,-8.00000e-02,
-3.2459997e-02,-1.60000e-03,-8.00000e-02,
-3.2439999e-02,-1.60000e-03,-8.00000e-02,
-3.2419994e-02,-1.60000e-03,-8.00000e-02,
-3.2399997e-02,-3.20000e-03,-8.00000e-02,
-3.2380000e-02,-1.60000e-03,-8.00000e-02,
-3.2359995e-02,-1.60000e-03,-8.00000e-02,
-3.2339998e-02,-1.60000e-03,-8.00000e-02,
-3.2319993e-02,-1.60000e-03,-8.00000e-02,
-3.2299995e-02,-1.60000e-03,-8.00000e-02,
-3.2279998e-02,-1.60000e-03,-8.00000e-02,
-3.2259993e-02,-1.60000e-03,-8.00000e-02,
-3.2239996e-02,-1.60000e-03,-8.00000e-02,
-3.2219999e-02,-1.60000e-03,-8.00000e-02,
-3.2199994e-02,-1.60000e-03,-1.60000e-01,
-3.2179996e-02,-1.60000e-03,-8.00000e-02,
-3.2159999e-02,-1.60000e-03,-8.00000e-02,
-3.2139994e-02,-8.00000e-04,-8.00000e-02,
-3.2119997e-02,-1.60000e-03,-8.00000e-02,
-3.2099999e-02,-8.00000e-04,-8.00000e-02,
-3.2079995e-02,-8.00000e-04,-8.00000e-02,
-3.2059997e-02,0.00000e+00,-8.00000e-02,
-3.2039993e-02,0.00000e+00,-8.00000e-02,
-3.2019995e-02,8.00000e-04,-8.00000e-02,
-3.1999998e-02,0.00000e+00,-8.00000e-02,
-3.1979993e-02,8.00000e-04,-8.00000e-02,
-3.1959996e-02,8.00000e-04,-8.00000e-02,
-3.1939998e-02,8.00000e-04,-1.60000e-01,
-3.1919993e-02,0.00000e+00,-8.00000e-02,
-3.1899996e-02,0.00000e+00,-8.00000e-02,
-3.1879999e-02,0.00000e+00,-8.00000e-02,
-3.1859994e-02,1.60000e-03,-8.00000e-02,
-3.1839997e-02,8.00000e-04,-8.00000e-02,
-3.1819999e-02,1.60000e-03,-8.00000e-02,
-3.1799994e-02,8.00000e-04,-8.00000e-02,
-3.1779997e-02,1.60000e-03,-8.00000e-02,
-3.1760000e-02,1.60000e-03,-8.00000e-02,
-3.1739995e-02,1.60000e-03,-8.00000e-02,
-3.1719998e-02,1.60000e-03,-8.00000e-02,
-3.1699993e-02,1.60000e-03,-8.00000e-02,
-3.1679995e-02,1.60000e-03,-8.00000e-02,
-3.1659998e-02,1.60000e-03,-8.00000e-02,
-3.1639993e-02,8.00000e-04,-8.00000e-02,
-3.1619996e-02,0.00000e+00,-8.00000e-02,
-3.1599998e-02,0.00000e+00,-8.00000e-02,
-3.1579994e-02,0.00000e+00,-8.00000e-02,
-3.1559996e-02,0.00000e+00,-8.00000e-02,
-3.1539999e-02,8.00000e-04,-8.00000e-02,
-3.1519994e-02,8.00000e-04,-8.00000e-02,
-3.1499997e-02,1.60000e-03,-8.00000e-02,
-3.1479999e-02,8.00000e-04,-8.00000e-02,
-3.1459995e-02,1.60000e-03,-8.00000e-02,
-3.1439997e-02,1.60000e-03,-8.00000e-02,
-3.1420000e-02,8.00000e-04,-8.00000e-02,
-3.1399995e-02,8.00000e-04,0.00000e+00,
-3.1379998e-02,8.00000e-04,-8.00000e-02,
-3.1359993e-02,8.00000e-04,-8.00000e-02,
-3.1339996e-02,1.60000e-03,-8.00000e-02,
-3.1319998e-02,1.60000e-03,-8.00000e-02,
-3.1299993e-02,1.60000e-03,-8.00000e-02,
-3.1279996e-02,2.40000e-03,-8.00000e-02,
-3.1259999e-02,2.40000e-03,-8.00000e-02,
-3.1239996e-02,1.60000e-03,-8.00000e-02,
-3.1219998e-02,2.40000e-03,-8.00000e-02,
-3.1200001e-02,1.60000e-03,-8.00000e-02,
-3.1179996e-02,2.40000e-03,-8.00000e-02,
-3.1159999e-02,1.60000e-03,-8.00000e-02,
-3.1140001e-02,1.60000e-03,-8.00000e-02,
-3.1119997e-02,1.60000e-03,-8.00000e-02,
-3.1099999e-02,1.60000e-03,-8.00000e-02,
-3.1079995e-02,1.60000e-03,-8.00000e-02,
-3.1059997e-02,2.40000e-03,-8.00000e-02,
-3.1040000e-02,1.60000e-03,-8.00000e-02,
-3.1019995e-02,1.60000e-03,-8.00000e-02,
-3.0999998e-02,8.00000e-04,-8.00000e-02,
-3.0980000e-02,1.60000e-03,-8.00000e-02,
-3.0959995e-02,1.60000e-03,-1.60000e-01,
-3.0939998e-02,1.60000e-03,-8.00000e-02,
-3.0920001e-02,1.60000e-03,-8.00000e-02,
