1,000	1,002	0,000	0,000
2,000	2,101	0,000	0,000
3,000	3,102	0,000	0,000
4,000	4,102	38,531	43,338
5,000	5,102	37,059	43,062
6,000	6,103	37,979	42,510
7,000	7,104	40,370	42,602
8,000	8,104	39,910	43,522
9,000	9,105	40,094	43,246
10,000	10,106	41,106	43,614
11,000	11,106	42,117	42,050
12,000	12,107	42,945	42,970
13,000	13,107	41,381	43,338
14,000	14,108	40,370	42,878
15,000	15,108	40,646	42,970
16,000	16,109	42,209	43,522
17,000	17,109	42,577	43,062
18,000	18,110	44,324	44,718
19,000	19,110	43,221	43,614
20,000	20,110	42,393	43,982
21,000	21,111	42,761	43,154
22,000	22,111	42,485	43,890
23,000	23,112	42,025	44,258
24,000	24,112	41,749	44,258
25,000	25,113	38,990	44,258
26,000	26,113	41,933	41,866
27,000	27,115	42,761	42,602
28,000	28,115	44,140	40,670
29,000	29,116	45,244	41,590
30,000	30,116	45,611	39,473
31,000	31,116	45,428	37,817
32,000	32,117	46,807	40,302
33,000	33,117	47,635	39,473
34,000	34,118	46,807	40,026
35,000	35,118	46,255	41,866
36,000	36,119	47,359	42,234
37,000	37,119	49,198	41,222
38,000	38,120	48,738	41,590
39,000	39,120	48,186	39,381
40,000	40,121	49,566	40,210
41,000	41,121	48,922	40,118
42,000	42,122	48,738	41,774
43,000	43,122	49,566	42,878
44,000	44,124	48,922	42,326
45,000	45,124	47,635	42,418
46,000	46,124	46,991	44,626
47,000	47,125	48,922	43,982
48,000	48,125	50,026	45,546
49,000	49,126	48,922	44,350
50,000	50,126	49,198	43,798
51,000	51,127	50,853	44,074
52,000	52,127	49,106	42,050
53,000	53,128	48,922	42,510
54,000	54,128	49,290	41,498
55,000	55,129	51,037	40,946
56,000	56,129	51,497	40,670
57,000	57,130	51,497	39,657
58,000	58,130	50,026	38,921
59,000	59,130	51,405	39,381
60,000	60,131	51,681	38,277
61,000	61,131	50,301	39,289
62,000	62,133	49,198	38,461
63,000	63,133	47,818	39,105
64,000	64,134	48,646	38,093
65,000	65,134	48,554	40,118
66,000	66,135	47,635	39,841
67,000	67,135	46,255	40,118
68,000	68,136	46,439	43,154
69,000	69,136	46,439	42,786
70,000	70,136	46,899	43,522
71,000	71,137	44,692	45,546
72,000	72,137	44,232	45,914
73,000	73,138	43,864	46,834
74,000	74,138	43,956	46,466
75,000	75,139	43,956	46,006
76,000	76,139	44,692	47,203
77,000	77,140	43,221	45,914
78,000	78,140	43,496	45,454
79,000	79,142	43,864	46,558
80,000	80,142	42,209	47,018
81,000	81,142	41,381	47,203
82,000	82,143	40,646	47,387
83,000	83,143	42,301	45,546
84,000	84,144	41,106	44,074
85,000	85,144	40,278	44,074
86,000	86,145	39,726	43,706
87,000	87,145	41,197	44,350
88,000	88,146	40,554	43,154
89,000	89,146	40,922	43,798
90,000	90,147	40,646	43,982
91,000	91,147	40,830	42,510
92,000	92,148	40,186	43,430
93,000	93,148	39,082	41,406
94,000	94,149	38,623	41,130
95,000	95,149	38,990	40,118
96,000	96,150	38,899	40,670
97,000	97,151	37,795	41,682
98,000	98,151	38,623	43,890
99,000	99,152	40,830	44,258
100,000	100,152	40,830	43,798
101,000	101,153	41,197	44,074
102,000	102,153	42,761	43,614
103,000	103,154	42,761	44,902
104,000	104,154	42,117	44,810
105,000	105,155	41,289	43,706
106,000	106,155	41,106	43,430
107,000	107,156	41,933	42,510
108,000	108,156	42,301	42,786
109,000	109,156	42,393	43,338
110,000	110,157	41,381	44,074
111,000	111,157	40,922	44,258
112,000	112,158	42,025	42,234
113,000	113,158	43,588	44,166
114,000	114,160	42,393	44,074
115,000	115,160	42,485	43,338
116,000	116,161	41,565	43,706
117,000	117,161	41,289	45,730
118,000	118,162	41,106	44,350
119,000	119,162	41,473	46,190
120,000	120,162	41,106	46,098
121,000	121,163	43,221	46,834
122,000	122,163	42,117	45,914
123,000	123,164	41,841	46,098
124,000	124,164	41,014	45,822
125,000	125,165	41,749	46,742
126,000	126,165	42,393	47,110
127,000	127,166	42,117	47,939
128,000	128,166	44,600	45,362
129,000	129,167	44,232	44,994
130,000	130,167	43,680	43,798
131,000	131,168	43,313	43,798
132,000	132,169	44,600	43,982
133,000	133,170	43,772	46,190
134,000	134,170	45,611	46,282
135,000	135,170	44,600	44,534
136,000	136,171	43,404	44,166
137,000	137,171	41,933	44,902
138,000	138,172	41,841	45,914
139,000	139,172	41,197	44,994
140,000	140,173	40,830	46,466
141,000	141,173	39,450	46,742
142,000	142,174	40,278	45,730
143,000	143,174	41,289	45,822
144,000	144,175	39,358	46,466
145,000	145,175	40,830	47,847
146,000	146,176	38,807	47,847
147,000	147,176	38,807	47,571
148,000	148,176	40,278	46,650
149,000	149,178	38,623	47,387
150,000	150,178	38,899	47,110
151,000	151,179	40,186	44,810
152,000	152,179	40,554	44,810
153,000	153,180	41,381	43,614
